dates,number_of_marriage
2019-01-04,11
2019-02-10,14
2020-05-03,13
2020-03-11,18
2018-04-18,16
2021-06-17,11
2021-05-10,22
2018-05-03,20
2023-02-03,20
2019-09-13,19
2019-10-29,15
2019-12-07,13
2019-01-27,13
2019-05-15,12
2019-01-05,15
2023-05-10,20
2023-06-14,16
2023-05-24,16
2021-03-12,19
2019-08-09,13
2018-11-04,21
2021-08-12,10
2020-03-03,19
2019-09-22,13
2020-02-05,12
2019-03-30,19
2022-11-21,19
2018-11-13,14
2022-06-14,17
2022-11-10,18
2021-03-13,18
2021-10-03,20
2019-10-02,16
2021-03-09,14
2019-03-24,7
2020-10-26,12
2018-02-13,18
2020-07-31,10
2023-07-21,10
2020-04-11,14
2019-02-15,15
2018-06-14,13
2020-01-07,20
2020-05-30,13
2021-06-02,17
2023-11-17,11
2023-02-21,15
2018-09-05,12
2018-12-31,16
2019-12-22,18
2018-06-27,14
2022-07-09,8
2023-04-08,12
2020-01-05,18
2023-01-25,10
2021-12-15,14
2021-03-22,8
2018-10-29,13
2021-02-28,16
2020-08-31,18
2018-09-07,21
2018-12-23,16
2020-11-20,13
2022-04-11,18
2019-12-21,13
2020-04-02,15
2019-02-13,13
2022-03-23,10
2019-01-20,16
2022-04-15,20
2022-11-29,12
2019-02-13,11
2018-10-01,8
2018-10-07,11
2019-08-10,12
2018-03-05,17
2023-09-14,10
2021-08-20,11
2019-04-12,13
2023-10-18,15
2020-11-23,14
2019-01-05,14
2018-03-21,13
2023-08-17,21
2019-06-05,17
2019-01-30,9
2019-10-27,12
2022-01-22,17
2022-08-08,12
2020-10-08,11
2022-03-08,9
2020-04-15,14
2018-09-09,17
2022-12-30,19
2018-11-01,9
2023-08-08,18
2021-08-10,17
2018-11-27,16
2021-08-08,14
2021-03-01,15
